		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)
T	T	-0.044	0.022	0.046	0.118	0.000	0.022	-0.674	0.104	0.012	0.000	0.064	0.165	0.182*	0.088	-0.004	0.145	0.029	-0.033	0.031	0.102	0.091	0.134	-0.000	48.931	0.168	0.020	0.187	0.222*	0.004	0.226	0.072	-1.282*	-1.210	-0.903**	-0.113	-1.016**	-0.646	-0.121	-0.766	-0.010	0.000	-0.010	0.002	0.008	0.010	0.027	-0.041	-1.306	0.847	-2.578	0.000	0.000	0.065	-0.000	0.039	-0.254	2.801	-0.735	-0.385	-0.031	0.075	-0.415	-7.590	2.335	-0.053	-0.009	0.006	0.005	-0.097*	0.085	0.041	-0.015	0.005	0.027	0.000	0.000	10.914	8.500	0.375**	1.507**	0.065	0.089**	0.030	0.008	-2.267	-2.072	-0.012	1.843	0.004	-1.934	-0.035	0.055	-2.500	10.500	-3.195	117.391**	-8.282	-2.571	-7.791	-4.083	-7.209	-3.570	-2.205	0.029	-0.045	-0.007	-0.027	-0.000	-2.034	-1.941	-0.163*	0.062**	-0.092	-1.965	-0.036	0.008	-0.095	0.082	1.879	0.003	0.021	-0.025	-0.048	-0.030	-0.081*	-0.037**	-0.080*	0.095**	0.047	-0.029	-1.759	-1.765	1.985	0.040	-1.689	-0.065	-0.054	-0.043	-0.045	-0.059	0.006	-0.006	-0.003	-0.003	-0.029	0.012	0.013	0.078**	0.080*	0.011	-0.125	-0.009	-1.825	-2.042	-1.920	-1.886	-3.695	-3.919	-1.874	-1.851	-1.808	-1.870	2.422	7.825	8.414*	0.749	-0.553	3.703	-7.364	-8.455	-7.919**	-1.933	-9.330	-2.023	-2.880	0.079	-9.602	-9.500	-0.074	0.167	0.093	-18.028*	0.014	-0.011	0.053	-0.066	0.027*	-0.007	0.016	0.002	-0.037
		(0.038)	(0.101)	(0.116)	(0.123)	(0.000)	(0.196)	(0.418)	(0.263)	(0.013)	(0.000)	(0.073)	(0.109)	(0.105)	(0.141)	(0.103)	(0.096)	(0.034)	(0.095)	(0.070)	(0.103)	(0.110)	(0.798)	(0.000)	(57.697)	(0.115)	(0.020)	(0.126)	(0.132)	(0.059)	(0.152)	(1.847)	(0.669)	(2.210)	(0.422)	(0.113)	(0.455)	(1.062)	(0.274)	(1.148)	(0.058)	(0.000)	(0.058)	(0.059)	(0.009)	(0.058)	(0.028)	(0.039)	(5.074)	(1.290)	(3.100)	(0.000)	(0.000)	(0.052)	(0.005)	(0.044)	(0.801)	(5.856)	(0.934)	(0.336)	(0.097)	(0.311)	(0.433)	(7.935)	(1.847)	(0.041)	(0.016)	(0.015)	(0.018)	(0.056)	(0.057)	(0.082)	(0.021)	(0.004)	(0.048)	(0.000)	(0.000)	(15.737)	(11.244)	(0.144)	(0.728)	(0.041)	(0.043)	(0.051)	(0.015)	(2.120)	(2.038)	(0.008)	(1.829)	(0.023)	(1.677)	(4.713)	(0.140)	(2.377)	(41.426)	(9.551)	(50.865)	(5.934)	(6.950)	(6.068)	(11.447)	(11.200)	(12.070)	(1.888)	(0.063)	(0.102)	(0.108)	(0.114)	(0.118)	(1.889)	(1.881)	(0.089)	(0.030)	(0.081)	(1.891)	(0.052)	(0.077)	(0.132)	(0.051)	(1.624)	(0.003)	(0.053)	(0.034)	(0.035)	(0.030)	(0.045)	(0.018)	(0.048)	(0.047)	(0.100)	(0.108)	(1.891)	(1.893)	(1.818)	(0.098)	(1.872)	(0.106)	(0.104)	(0.035)	(0.036)	(0.049)	(0.051)	(0.015)	(0.030)	(0.005)	(0.024)	(0.023)	(0.041)	(0.033)	(0.048)	(0.017)	(0.084)	(0.047)	(1.878)	(1.880)	(1.871)	(1.874)	(2.269)	(2.795)	(1.874)	(1.883)	(1.889)	(1.877)	(4.142)	(7.325)	(4.954)	(4.575)	(5.100)	(5.644)	(5.225)	(7.378)	(3.959)	(1.869)	(12.959)	(1.875)	(2.802)	(0.081)	(6.639)	(10.384)	(0.075)	(0.109)	(0.110)	(10.391)	(0.010)	(0.027)	(0.045)	(0.050)	(0.016)	(0.031)	(0.014)	(0.040)	(0.037)
1007b.ps_dist#0.strata																								-0.778**																																																																																																																																																																								
																								(0.241)																																																																																																																																																																								
1009o.ps_dist#0o.strata																								0.000																																																																																																																																																																								
																								(0.000)																																																																																																																																																																								
																																																																																																																																																																																																
Observations		655	655	655	655	655	655	655	655	655	655	655	655	655	453	655	655	655	655	655	655	655	655	28	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	299	299	299	299	299	299	299	299	299	299	299	299	299	7	299	299	655	655	655	655	655	655	655	655	655	655	655	655	655	613	655	596	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	655	361	655	655	179	655	576	538	538	538	655	655	655	655	655	655	655	655	655	655
R-squared		0.062	0.128	0.155	0.115		0.273	0.286	0.251	0.025		0.110	0.213	0.187	0.098	0.159	0.158	0.143	0.106	0.087	0.254	0.159	0.196	0.556	0.327	0.061	0.046	0.052	0.098	0.018	0.077	0.451	0.297	0.481	0.338	0.085	0.338	0.354	0.309	0.393	0.046		0.046	0.035	0.020	0.046	0.901	0.795	0.012	0.025	0.545	1.000	1.000	0.006	0.008	0.083	0.019	0.005	0.016	0.023	0.026	0.007	0.007	0.006	0.006	0.013	0.018	0.016	0.020	0.037	0.039	0.008	0.011	0.010	0.004			0.028	0.524	0.109	0.034	0.015	0.017	0.011	0.003	0.006	0.006	0.014	0.005	0.010	0.007	0.003	0.004	0.005	0.005	0.009	0.027	0.007	0.007	0.004	0.003	0.003	0.004	0.007	0.008	0.011	0.006	0.005	0.003	0.007	0.006	0.041	0.017	0.007	0.007	0.005	0.005	0.012	0.025	0.006	0.005	0.017	0.013	0.016	0.007	0.015	0.007	0.010	0.018	0.013	0.032	0.006	0.006	0.006	0.019	0.007	0.024	0.014	0.004	0.015	0.008	0.008	0.007	0.004	0.002	0.009	0.008	0.020	0.014	0.008	0.004	0.047	0.022	0.007	0.007	0.007	0.007	0.013	0.006	0.006	0.006	0.007	0.006	0.001	0.005	0.012	0.003	0.004	0.003	0.004	0.006	0.006	0.007	0.019	0.007	0.007	0.020	0.009	0.007	0.013	0.011	0.005	0.008	0.009	0.010	0.009	0.006	0.008	0.003	0.002	0.002	0.003
Mean of control		0.984	0.709	0.524	0.441	1.000	2.201	1.601	2.674	0.987	1.000	0.882	0.610	0.243	0.513	0.728	0.696	0.949	1.834	0.869	0.319	0.268	12.323	0.636	406.738	0.105	0.000	0.105	0.524	0.048	0.572	11.869	5.188	17.058	5.220	0.236	5.457	5.310	0.939	6.249	0.054	0.000	0.054	0.946	0.000	0.946	25.523	85.173	29.097	5.972	30.441	26.562	0.527	1.869	0.994	1.911	47.188	-5.374	22.572	1.748	0.764	4.482	6.335	118.281	0.086	0.114	0.030	0.015	0.015	0.326	0.242	0.242	0.045	0.000	0.144	0.000	0.000	-12.379	28.000	1.659	6.008	0.118	0.224	0.380	0.029	0.010	0.000	0.016	-2.112	1.061	2.901	-2.067	1.735	0.952	-221.245	-9.732	-504.363	0.559	-1.888	2.511	-15.463	-8.281	-14.326	2.479	1.230	1.259	1.824	2.029	1.537	2.403	2.029	1.422	1.058	1.527	2.157	1.201	1.655	2.278	1.137	-1.029	0.997	0.291	0.607	0.652	0.885	0.661	0.936	0.610	0.319	1.543	1.482	1.377	1.441	-0.128	1.518	3.585	1.425	1.492	0.498	0.623	0.412	0.313	0.965	0.137	0.997	0.105	0.927	0.856	0.131	0.422	0.946	1.760	1.147	1.447	1.712	1.233	1.192	1.176	1.131	1.083	1.492	2.339	1.166	-5.102	-13.565	-9.377	-3.530	-4.096	-8.454	-0.997	-6.361	1.032	0.581	-8.610	1.575	0.304	0.379	-3.780	-13.464	1.646	1.381	3.027	-9.815	0.010	0.109	0.150	0.732	0.019	0.179	0.019	0.396	0.387
Mean of treatment		0.939	0.734	0.558	0.558	1.000	2.211	0.904	2.751	1.000	1.000	0.933	0.766	0.418	0.569	0.719	0.833	0.974	1.775	0.889	0.383	0.330	12.266	0.000	462.497	0.263	0.020	0.284	0.746	0.053	0.798	11.813	3.833	15.646	4.304	0.120	4.424	4.611	0.921	5.532	0.044	0.000	0.044	0.947	0.009	0.956	25.592	85.094	27.551	6.858	27.684	26.386	0.532	1.933	0.994	1.950	46.944	-1.953	21.775	1.427	0.725	4.503	5.982	111.860	2.667	0.060	0.024	0.024	0.018	0.228	0.341	0.275	0.030	0.006	0.168	0.000	0.000	-4.269	29.333	2.060	7.566	0.181	0.307	0.409	0.035	-1.927	-1.942	0.003	0.006	1.061	0.880	-1.784	1.801	-2.000	-209.114	-14.667	-385.038	-7.822	-5.398	-5.763	-20.219	-15.953	-17.023	0.202	1.260	1.205	1.801	1.985	1.532	0.260	-0.006	1.295	1.126	1.444	0.105	1.164	1.661	2.173	1.213	1.123	1.000	0.322	0.582	0.608	0.854	0.591	0.901	0.529	0.412	1.573	1.436	-0.462	-0.401	2.158	1.564	1.827	1.348	1.421	0.456	0.585	0.360	0.316	0.962	0.137	0.994	0.082	0.939	0.868	0.211	0.506	0.956	1.658	1.152	-0.430	-0.371	-0.740	-0.749	-2.637	-2.719	-0.857	-0.427	0.471	-0.769	-2.602	-5.477	-0.632	-3.082	-5.556	-5.740	-8.596	-15.485	-6.787	-1.424	-18.721	-0.506	-2.675	0.440	-13.023	-23.420	1.586	1.536	3.122	-28.330	0.023	0.099	0.202	0.667	0.047	0.173	0.035	0.398	0.348
Strata FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Cluster Station		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses																																																																																																																																																																																																
*** p<0.01, ** p<0.05, * p<0.1																																																																																																																																																																																																
