		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)	(304)	(305)	(306)	(307)	(308)	(309)
R-squared		0.138	0.090	0.010	0.010		0.189	0.133	0.260	0.011		0.074	0.004	0.082	0.090	0.023	0.138		0.331	0.331	0.092	0.070	0.205		0.517	0.020		0.020	0.002	0.024	0.009	0.267	0.560	0.517	0.310	0.023	0.300	0.260	0.030	0.287							0.081	0.005	0.001	0.038	0.530		1.000	0.002		0.212	0.212	0.212	0.212	0.001	0.000	0.000	0.002	0.024	0.009	0.012	0.016	0.016	0.016	0.009	0.009	0.021	0.012	0.019	0.035	0.033	0.001	0.010	0.028		0.121				0.017	0.307	0.307	0.307	0.003	0.001	0.006	0.009	0.006	0.006	0.001	0.009	0.010	0.009	0.002	0.002	0.024	0.008	0.007	0.002	0.002	0.025	0.013	0.010	0.013	0.010	0.000	0.012	0.011	0.014	0.004	0.012	0.002	0.006	0.009	0.003	0.016	0.016	0.016	0.005	0.004	0.008	0.014	0.017	0.025	0.038	0.013	0.013	0.000	0.010	0.045	0.001	0.006	0.002	0.003	0.005	0.032	0.037	0.023	0.029	0.009	0.016	0.002	0.023	0.003	0.032	0.015	0.005	0.012	0.010	0.004	0.007	0.024	0.004	0.006	0.015	0.003	0.010	0.013	0.010	0.040	0.010	0.021	0.013	0.002	0.026	0.036	0.036	0.036	0.036	0.036	0.036	0.040	0.004	0.020	0.022	0.029	0.029	0.029	0.029	0.009	0.018	0.009	0.010	0.010	0.018	0.010	0.000	0.010	0.006	0.018	0.018	0.003	0.012	0.015	0.015	0.004	0.009	0.008	0.006	0.002	0.003	0.003	0.005	0.001	0.002	0.017	0.003	0.012	0.001	0.014	0.014	0.006	0.006	0.007	0.010	0.039	0.020	0.006	0.010	0.010	0.010	0.009	0.003	0.009	0.010	0.010	0.010	0.003	0.007	0.006	0.009	0.010	0.007	0.016	0.010	0.020	0.010	0.005	0.009	0.004	0.010	0.009	0.010	0.010	0.001	0.006	0.006	0.014	0.010	0.003	0.010	0.010	0.006	0.009	0.013	0.006	0.006	0.006	0.013	0.006	0.009	0.007	0.000	0.010	0.010	0.010	0.009	0.007	0.010	0.006	0.006	0.000	0.006	0.010	0.009	0.006	0.010	0.006	0.006	0.000	0.010	0.010	0.006	0.010	0.020	0.000	0.010	0.011	0.010	0.009	0.002	0.008	0.010	0.006	0.010	0.010	0.010	0.009	0.009	0.006	0.019	0.009	0.010	0.039	0.003
Mean of control		0.861	0.481	0.324	0.324	1.000	2.037	0.907	2.231	0.852	1.000	1.000	0.704	0.481	0.684	0.676	0.602	1.000	1.778	0.778	0.426	0.352	11.269	,	334.481	0.528	0.000	0.528	0.611	0.130	0.741	10.093	4.315	14.407	4.639	0.157	4.796	4.222	0.972	5.194	0.000	0.000	0.000	1.000	0.000	1.000	25.788	85.328	39.163	6.667	26.667	25.000	0.509	1.796	1.000	1.963	,	,	,	48.009	-4.972	,	22.667	1.454	0.500	5.407	6.241	114.824	,	-4.037	,	0.238	0.048	0.024	0.024	0.238	0.286	0.190	0.000	0.000	0.000	0.000	0.000	,	1.048	,	,	,	1.690	6.143	0.148	0.231	0.500	0.019	0.037	0.009	0.083	-6.139	1.046	,	2.750	-8.111	2.204	0.898	-223.062	-26.833	-473.394	-13.454	5.954	-2.491	-16.639	-7.250	0.185	2.796	1.231	1.259	2.019	2.148	1.926	2.278	2.500	,	,	1.333	1.083	1.648	2.074	1.435	1.750	2.194	1.231	,	1.148	1.000	0.176	0.648	0.667	0.917	0.787	0.898	0.583	0.278	1.880	1.435	-5.009	1.370	2.537	1.574	3.463	1.296	1.444	0.630	0.713	0.361	0.213	0.954	0.278	0.991	0.056	0.889	0.944	0.102	0.324	0.917	1.630	1.176	1.509	1.704	1.250	1.139	1.213	,	,	,	,	,	1.037	1.056	1.759	2.389	1.380	,	,	,	1.352	1.435	1.500	-4.343	-4.972	-4.991	-5.083	-5.083	-5.167	0.593	-12.844	,	1.593	0.343	0.514	,	2.880	-5.276	1.583	1.385	2.969	-9.435	,	0.028	0.120	0.833	0.019	0.019	0.222	0.037	0.287	0.435	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.009	0.019	0.009	0.009	0.009	0.009	0.019	0.065	0.000	0.009	0.037	0.009	0.000	0.009	0.000	0.009	0.009	0.009	0.028	0.009	0.009	0.009	0.009	0.009	0.019	0.000	0.019	0.000	0.019	0.009	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.019	0.000	0.000	0.009	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.111	0.009	0.009	0.000	0.009	0.009	0.046	0.120	0.009	0.000	0.000	0.009	0.000	0.009	0.009	0.000	0.019	0.009	0.009	0.000	0.093
Mean of treatment		0.953	0.643	0.419	0.419	1.000	1.938	0.984	2.798	0.806	1.000	0.915	0.752	0.457	0.722	0.527	0.915	1.000	1.798	0.798	0.217	0.132	11.364		565.767	0.659	0.000	0.659	0.628	0.054	0.682	11.295	4.690	15.984	5.054	0.085	5.140	6.047	1.039	7.085	0.000	0.000	0.000	1.000	0.000	1.000	25.718	85.320	38.207	11.013	30.550	25.000	0.589	1.713	1.000	1.829				48.171	-3.659		21.760	0.775	0.860	4.853	5.915	109.256		1.938		0.132	0.079	0.000	0.026	0.132	0.263	0.237	0.026	0.000	0.158	0.000	0.000		1.132				1.632	6.000	-5.054	-7.535	-4.682	0.039	0.031	0.000	-5.140	0.016	1.054		3.078	-3.953	-5.884	0.907	-227.051	-6.907	-517.241	5.023	6.178	7.341	-15.202	6.543	7.031	2.450	1.178	1.287	1.930	2.023	-3.357	2.140	2.155			1.326	1.132	1.597	1.992	1.287	1.915	1.705	1.194		1.147	0.992	0.364	0.651	0.721	0.922	0.791	0.938	0.752	0.411	1.605	1.295	1.240	1.504	2.419	1.814	3.357	1.264	1.543	0.581	0.705	0.426	0.264	0.953	0.155	0.984	0.078	0.953	0.922	0.147	0.434	0.899	2.039	1.225	1.682	1.744	1.209	1.279	1.457						1.233	1.101	1.612	2.543	1.186				-6.349	1.651	1.364	1.884	-3.860	-14.326	1.178	-6.651	-6.721	0.519	1.134		1.589	0.310	0.400		2.829	1.033	1.437	1.445	2.882	-7.225		0.047	0.101	0.845	0.008	0.016	0.140	0.031	0.357	0.457	0.008	0.008	0.016	0.008	0.031	0.023	0.008	0.000	0.008	0.008	0.000	0.008	0.000	0.000	0.000	0.000	0.008	0.078	0.008	0.000	0.023	0.008	0.031	0.000	0.023	0.000	0.023	0.000	0.016	0.000	0.000	0.000	0.000	0.016	0.016	0.008	0.008	0.008	0.008	0.000	0.008	0.008	0.000	0.016	0.008	0.008	0.008	0.016	0.008	0.000	0.008	0.008	0.000	0.000	0.000	0.000	0.008	0.000	0.008	0.008	0.008	0.008	0.008	0.000	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.039	0.008	0.000	0.023	0.000	0.000	0.047	0.070	0.000	0.008	0.008	0.000	0.008	0.000	0.000	0.008	0.000	0.000	0.000	0.070	0.101
Strata FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes				Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes			Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes						Yes	Yes	Yes	Yes	Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Cluster Station		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes				Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes			Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes						Yes	Yes	Yes	Yes	Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
,																								,																																	Strata FE	Strata FE	Strata FE			Strata FE							Strata FE		Strata FE													Strata FE		,	Strata FE	Strata FE												Strata FE																						Strata FE	Strata FE									Strata FE																																								Strata FE	Strata FE	Strata FE	Strata FE	Strata FE						Strata FE	Strata FE	Strata FE												Strata FE				Strata FE							Strata FE																																																																																																							
,																								,																																	Strata FE	Strata FE	Strata FE			Strata FE							Strata FE		Strata FE													Strata FE		,	Strata FE	Strata FE												Strata FE																						Strata FE	Strata FE									Strata FE																																								Strata FE	Strata FE	Strata FE	Strata FE	Strata FE						Strata FE	Strata FE	Strata FE												Strata FE				Strata FE							Strata FE																																																																																																							
,																								)																																	Strata FE	Strata FE	Strata FE			Strata FE							Strata FE		Strata FE													Strata FE		)	Strata FE	Strata FE												Strata FE																						Strata FE	Strata FE									Strata FE																																								Strata FE	Strata FE	Strata FE	Strata FE	Strata FE						Strata FE	Strata FE	Strata FE												Strata FE				Strata FE							Strata FE																																																																																																							
Yes																																																									Cluster Station	Cluster Station	Cluster Station																									Cluster Station			Cluster Station	Cluster Station												Cluster Station																						Cluster Station																																																						Cluster Station						Cluster Station														Cluster Station				Cluster Station							Cluster Station																																																																																																							
Yes																																																														Cluster Station							Cluster Station		Cluster Station																																																				Cluster Station									Cluster Station																																								Cluster Station	Cluster Station	Cluster Station	Cluster Station								Cluster Station	Cluster Station																																																																																																																														
Robust standard errors in parentheses																																																																																																																																																																																																																																																																																																																						
*** p<0.01, ** p<0.05, * p<0.1																																																																																																																																																																																																																																																																																																																						
