		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)
R-squared				0.006		0.130	0.130	0.130	0.130	0.012	0.006	0.006	0.006	0.038	0.017	0.019	0.001	0.001	0.001	0.009	0.009	0.001	0.026	0.015	0.033	0.018	0.012	0.046	0.001		0.036				0.016				0.019	0.015	0.009	0.007	0.007	0.000	0.002	0.009	0.004	0.000	0.016	0.016	0.003	0.006	0.002	0.007	0.001	0.006	0.004	0.004	0.000	0.002	0.000	0.003	0.001	0.006	0.007	0.002	0.003	0.002	0.001	0.003	0.005	0.005	0.005	0.005	0.010	0.007	0.014	0.007	0.003	0.011	0.001	0.001	0.001	0.022	0.019	0.000	0.004	0.029	0.017	0.001	0.025	0.027	0.005	0.004	0.006	0.006	0.014	0.008	0.007	0.019	0.010	0.001	0.006	0.002	0.018	0.002	0.008	0.033	0.019	0.005	0.032	0.003	0.005	0.018	0.004	0.008	0.017	0.003	0.020	0.007	0.004	0.004	0.004	0.004	0.004	0.004	0.006	0.003	0.008	0.007	0.007	0.007	0.007	0.007	0.006	0.009	0.007	0.001	0.007	0.000	0.007	0.006	0.003	0.004	0.002	0.002	0.008	0.002	0.028	0.028	0.000	0.008	0.001	0.002	0.001	0.017	0.017	0.000	0.020	0.060	0.086	0.006	0.017	0.005	0.007	0.001	0.001	0.024	0.008	0.007	0.007	0.006	0.006	0.006	0.009	0.007	0.009	0.007	0.007	0.013	0.009	0.008	0.006	0.008	0.008	0.010	0.007	0.006	0.007	0.006	0.009	0.008	0.007	0.008	0.009	0.006	0.008	0.006	0.000	0.018	0.005	0.011	0.006	0.006	0.006	0.008	0.008	0.008	0.006	0.006	0.006	0.008	0.006	0.004	0.003	0.007	0.014	0.008	0.001	0.008	0.005	0.008	0.007	0.009	0.018	0.006	0.007	0.019	0.032	0.006	0.009	0.007	0.007	0.009	0.006	0.009	0.018	0.006	0.006	0.009	0.009	0.000	0.002	0.008	0.008	0.000	0.009	0.007	0.011	0.008	0.023	0.007	0.031	0.004	0.007	0.003	0.009	0.006	0.007	0.000	0.007	0.000	0.006	0.009	0.010	0.007	0.007	0.006	0.007	0.009	0.006	0.009	0.009	0.006	0.006	0.006	0.001
Mean of control		1.000	1.000	1.860	1.000	1.860	,	,	,	48.306	-18.992	,	23.612	2.488	0.926	3.959	5.769	105.157	,	-6.149	,	0.150	0.000	0.000	0.025	0.225	0.375	0.150	0.025	0.000	0.175	0.000	0.000	,	-21.025	26.500	,	,	1.825	7.563	-7.983	0.298	0.413	-8.215	0.025	0.008	0.017	-8.231	-15.455	,	3.140	-15.397	1.884	-48.702	-303.455	-56.983	-600.622	-17.364	-33.388	-12.934	-75.132	-53.174	-51.909	1.909	-4.207	1.058	1.769	1.950	1.653	2.066	2.298	,	,	1.298	1.215	1.521	1.934	1.413	1.545	1.901	-4.207	,	1.132	0.983	0.314	0.686	0.694	0.950	0.686	0.860	0.628	0.438	1.562	1.298	1.364	1.240	2.421	1.331	3.223	1.165	1.331	0.554	0.678	0.430	0.397	0.942	0.157	0.992	0.058	0.950	0.843	0.050	0.421	0.810	1.711	-7.074	1.512	1.388	1.157	-7.107	1.314	,	,	,	,	,	1.198	1.157	-4.058	-6.033	1.421	,	,	,	1.421	-6.893	1.397	1.612	1.264	-4.397	1.223	1.149	1.050	0.529	1.078	,	-6.645	0.289	-28.029	,	-2.860	1.009	1.771	1.505	3.276	-13.620	,	0.008	0.116	0.099	0.777	0.000	0.025	0.198	0.017	0.380	0.380	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.008	0.000	0.000	0.000	0.008	0.008	0.000	0.008	0.008	0.025	0.000	0.000	0.000	0.000	0.008	0.008	0.000	0.025	0.008	0.000	0.008	0.000	0.008	0.017	0.008	0.000	0.000	0.000	0.000	0.025	0.008	0.008	0.000	0.000	0.000	0.008	0.000	0.017	0.017	0.000	0.000	0.008	0.017	0.008	0.017	0.008	0.000	0.008	0.017	0.000	0.000	0.000	0.041	0.000	0.008	0.000	0.000	0.008	0.000	0.008	0.017	0.000	0.000	0.008	0.008	0.008	0.041	0.008	0.008	0.008	0.017	0.000	0.008	0.008	0.050	0.000	0.124	0.017	0.008	0.017	0.008	0.000	0.000	0.008	0.000	0.008	0.000	0.008	0.008	0.000	0.000	0.000	0.000	0.008	0.000	0.008	0.017	0.000	0.000	0.000	0.157
Mean of treatment		1.000	1.000	2.041	1.000	1.919				46.561	-2.777		21.716	1.507	0.872	3.527	6.034	110.480		2.230		0.158	0.053	0.035	0.000	0.193	0.316	0.281	0.018	0.000	0.105	0.000	0.000		-14.491	,			1.702	6.211	-6.486	-4.209	-6.324	-6.716	0.020	0.000	0.007	-6.736	1.054		3.115	-39.331	1.764	-37.385	-306.430	-53.101	-547.519	-33.953	-37.784	-25.074	-74.486	-72.128	-41.588	1.757	1.135	1.074	1.689	1.912	1.608	2.020	2.507			1.257	1.095	-5.250	-11.527	-3.095	1.459	1.662	-9.892		1.108	0.980	0.432	0.669	0.635	0.845	0.622	0.838	0.601	0.311	1.432	1.372	-3.115	-3.155	2.101	1.338	-1.311	1.277	1.446	0.534	0.608	0.412	0.331	0.939	0.223	0.966	0.142	0.939	0.824	0.074	0.453	0.811	1.804	1.446	1.696	1.473	1.324	-3.176	1.338						1.108	1.115	1.372	2.068	-3.149				-3.142	-5.338	-5.493	1.682	-5.520	-3.324	-5.554	-10.162	1.020	0.568	1.083		1.541	0.257	0.526		-2.000	1.033	1.759	1.414	3.172	-33.135		0.007	0.182	0.155	0.642	0.014	0.054	0.149	0.034	0.405	0.358	0.034	0.000	0.007	0.007	0.007	0.007	0.007	0.000	0.007	0.000	0.007	0.007	0.014	0.000	0.000	0.007	0.000	0.000	0.068	0.007	0.014	0.007	0.007	0.000	0.000	0.007	0.007	0.000	0.007	0.000	0.007	0.007	0.000	0.020	0.020	0.007	0.007	0.007	0.007	0.000	0.000	0.007	0.014	0.007	0.000	0.007	0.007	0.007	0.007	0.014	0.000	0.027	0.000	0.014	0.000	0.007	0.000	0.000	0.007	0.007	0.020	0.000	0.007	0.000	0.007	0.007	0.000	0.007	0.000	0.000	0.014	0.007	0.000	0.000	0.007	0.054	0.000	0.000	0.007	0.000	0.007	0.014	0.000	0.034	0.007	0.061	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.000	0.027	0.007	0.007	0.007	0.007	0.000	0.014	0.000	0.000	0.007	0.014	0.007	0.142
Strata FE		Yes	Yes	Yes	Yes	Yes				Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes			Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes						Yes	Yes	Yes	Yes	Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Cluster Station		Yes	Yes	Yes	Yes	Yes				Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes			Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes						Yes	Yes	Yes	Yes	Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
,							Strata FE	Strata FE	Strata FE			Strata FE							Strata FE		Strata FE													Strata FE		,	Strata FE	Strata FE												Strata FE																						Strata FE	Strata FE									Strata FE																																								Strata FE	Strata FE	Strata FE	Strata FE	Strata FE						Strata FE	Strata FE	Strata FE												Strata FE				Strata FE							Strata FE																																																																																																																								
,							Strata FE	Strata FE	Strata FE			Strata FE							Strata FE		Strata FE													Strata FE		)	Strata FE	Strata FE												Strata FE																						Strata FE	Strata FE									Strata FE																																								Strata FE	Strata FE	Strata FE	Strata FE	Strata FE						Strata FE	Strata FE	Strata FE												Strata FE				Strata FE							Strata FE																																																																																																																								
Yes							Cluster Station	Cluster Station	Cluster Station										Cluster Station		Cluster Station																Cluster Station													Cluster Station																						Cluster Station	Cluster Station									Cluster Station																																									Cluster Station											Cluster Station																Cluster Station							Cluster Station																																																																																																																								
Yes												Cluster Station																						Cluster Station				Cluster Station																																																																																				Cluster Station		Cluster Station	Cluster Station	Cluster Station						Cluster Station	Cluster Station													Cluster Station																																																																																																																																			
Robust standard errors in parentheses																																																																																																																																																																																																																																																																																					
*** p<0.01, ** p<0.05, * p<0.1																																																																																																																																																																																																																																																																																					
